Name,Date,Market_Cap
 HedgeTrade ,"Jan 09, 2020","561,793,664"
 HedgeTrade ,"Jan 08, 2020","571,094,197"
 HedgeTrade ,"Jan 07, 2020","573,459,931"
 HedgeTrade ,"Jan 06, 2020","548,944,077"
 HedgeTrade ,"Jan 05, 2020","521,505,971"
 HedgeTrade ,"Jan 04, 2020","513,271,737"
 HedgeTrade ,"Jan 03, 2020","508,566,173"
 HedgeTrade ,"Jan 02, 2020","482,608,965"
 HedgeTrade ,"Jan 01, 2020","498,656,699"
 HedgeTrade ,"Dec 31, 2019","498,357,770"
 HedgeTrade ,"Dec 30, 2019","505,342,106"
 HedgeTrade ,"Dec 29, 2019","516,827,657"
 HedgeTrade ,"Dec 28, 2019","506,905,808"
 HedgeTrade ,"Dec 27, 2019","502,442,619"
 HedgeTrade ,"Dec 26, 2019","482,073,540"
 HedgeTrade ,"Dec 25, 2019","490,520,420"
 HedgeTrade ,"Dec 24, 2019","492,085,497"
 HedgeTrade ,"Dec 23, 2019","476,168,952"
 HedgeTrade ,"Dec 22, 2019","492,125,623"
 HedgeTrade ,"Dec 21, 2019","480,706,385"
 HedgeTrade ,"Dec 20, 2019","420,624,350"
 HedgeTrade ,"Dec 19, 2019","395,996,895"
 HedgeTrade ,"Dec 18, 2019","387,704,306"
 HedgeTrade ,"Dec 17, 2019","343,906,697"
 HedgeTrade ,"Dec 16, 2019","350,580,218"
 HedgeTrade ,"Dec 15, 2019","355,128,443"
 HedgeTrade ,"Dec 14, 2019","356,036,474"
 HedgeTrade ,"Dec 13, 2019","361,040,330"
 HedgeTrade ,"Dec 12, 2019","356,813,768"
 HedgeTrade ,"Dec 11, 2019","347,641,920"
 HedgeTrade ,"Dec 10, 2019","338,776,986"
 HedgeTrade ,"Dec 09, 2019","341,932,155"
 HedgeTrade ,"Dec 08, 2019","351,882,638"
 HedgeTrade ,"Dec 07, 2019","348,821,707"
 HedgeTrade ,"Dec 06, 2019","348,075,652"
 HedgeTrade ,"Dec 05, 2019","288,920,070"
 HedgeTrade ,"Dec 04, 2019","215,378,690"
 HedgeTrade ,"Dec 03, 2019","215,733,770"
 HedgeTrade ,"Dec 02, 2019","214,539,466"
 HedgeTrade ,"Dec 01, 2019","211,396,539"
 HedgeTrade ,"Nov 30, 2019","226,016,145"
 HedgeTrade ,"Nov 29, 2019","197,176,538"
 HedgeTrade ,"Nov 28, 2019","190,081,720"
 HedgeTrade ,"Nov 27, 2019","190,167,023"
 HedgeTrade ,"Nov 26, 2019","182,662,189"
 HedgeTrade ,"Nov 25, 2019","175,585,759"
 HedgeTrade ,"Nov 24, 2019","171,000,722"
 HedgeTrade ,"Nov 23, 2019","184,030,864"
 HedgeTrade ,"Nov 22, 2019","181,148,179"
 HedgeTrade ,"Nov 21, 2019","184,881,056"
 HedgeTrade ,"Nov 20, 2019","202,283,565"
 HedgeTrade ,"Nov 19, 2019","201,787,654"
 HedgeTrade ,"Nov 18, 2019","207,401,023"
 HedgeTrade ,"Nov 17, 2019","212,066,586"
 HedgeTrade ,"Nov 16, 2019","211,568,816"
 HedgeTrade ,"Nov 15, 2019","202,541,028"
 HedgeTrade ,"Nov 14, 2019","213,289,615"
 HedgeTrade ,"Nov 13, 2019","215,889,860"
 HedgeTrade ,"Nov 12, 2019","213,209,959"
 HedgeTrade ,"Nov 11, 2019","213,907,254"
 HedgeTrade ,"Nov 10, 2019","218,661,163"
 HedgeTrade ,"Nov 09, 2019","214,960,288"
 HedgeTrade ,"Nov 08, 2019","213,392,736"
 HedgeTrade ,"Nov 07, 2019","222,806,767"
 HedgeTrade ,"Nov 06, 2019","228,156,910"
 HedgeTrade ,"Nov 05, 2019","229,164,083"
 HedgeTrade ,"Nov 04, 2019","230,551,913"
 HedgeTrade ,"Nov 03, 2019","225,695,250"
 HedgeTrade ,"Nov 02, 2019","224,957,251"
 HedgeTrade ,"Nov 01, 2019","220,495,118"
 HedgeTrade ,"Oct 31, 2019","217,105,258"
 HedgeTrade ,"Oct 30, 2019","216,540,599"
 HedgeTrade ,"Oct 29, 2019","222,496,956"
 HedgeTrade ,"Oct 28, 2019","218,914,087"
 HedgeTrade ,"Oct 27, 2019","236,104,104"
 HedgeTrade ,"Oct 26, 2019","236,279,756"
 HedgeTrade ,"Oct 25, 2019","227,018,353"
 HedgeTrade ,"Oct 24, 2019","191,072,897"
 HedgeTrade ,"Oct 23, 2019","191,286,321"
 HedgeTrade ,"Oct 22, 2019","209,969,159"
 HedgeTrade ,"Oct 21, 2019","214,705,715"
 HedgeTrade ,"Oct 20, 2019","218,934,975"
 HedgeTrade ,"Oct 19, 2019","217,333,611"
 HedgeTrade ,"Oct 18, 2019","217,731,667"
 HedgeTrade ,"Oct 17, 2019","215,580,745"
 HedgeTrade ,"Oct 16, 2019","220,297,606"
 HedgeTrade ,"Oct 15, 2019","221,620,074"
 HedgeTrade ,"Oct 14, 2019","228,604,113"
 HedgeTrade ,"Oct 13, 2019","226,736,797"
 HedgeTrade ,"Oct 12, 2019","226,816,058"
 HedgeTrade ,"Oct 11, 2019","227,452,257"
 HedgeTrade ,"Oct 10, 2019","238,439,114"
 HedgeTrade ,"Oct 09, 2019","236,636,000"
 HedgeTrade ,"Oct 08, 2019","229,210,172"
 HedgeTrade ,"Oct 07, 2019","231,021,925"
 HedgeTrade ,"Oct 06, 2019","224,660,847"
 HedgeTrade ,"Oct 05, 2019","226,027,857"
 HedgeTrade ,"Oct 04, 2019","232,657,175"
 HedgeTrade ,"Oct 03, 2019","233,524,712"
 HedgeTrade ,"Oct 02, 2019","234,850,816"
 HedgeTrade ,"Oct 01, 2019","236,707,933"
 HedgeTrade ,"Sep 30, 2019","222,562,953"
 HedgeTrade ,"Sep 29, 2019","210,446,874"
 HedgeTrade ,"Sep 28, 2019","214,424,937"
 HedgeTrade ,"Sep 27, 2019","216,466,219"
 HedgeTrade ,"Sep 26, 2019","211,477,177"
 HedgeTrade ,"Sep 25, 2019","223,368,556"
 HedgeTrade ,"Sep 24, 2019","225,165,181"
 HedgeTrade ,"Sep 23, 2019","254,021,499"
 HedgeTrade ,"Sep 22, 2019","261,001,041"
 HedgeTrade ,"Sep 21, 2019","261,497,348"
 HedgeTrade ,"Sep 20, 2019","265,508,055"
 HedgeTrade ,"Sep 19, 2019","268,408,337"
 HedgeTrade ,"Sep 18, 2019","267,714,107"
 HedgeTrade ,"Sep 17, 2019","267,279,534"
 HedgeTrade ,"Sep 16, 2019","263,443,334"
 HedgeTrade ,"Sep 15, 2019","269,549,767"
 HedgeTrade ,"Sep 14, 2019","272,524,683"
 HedgeTrade ,"Sep 13, 2019","270,992,432"
 HedgeTrade ,"Sep 12, 2019","271,536,110"
 HedgeTrade ,"Sep 11, 2019","264,974,042"
 HedgeTrade ,"Sep 10, 2019","267,277,086"
 HedgeTrade ,"Sep 09, 2019","274,772,845"
 HedgeTrade ,"Sep 08, 2019","270,693,647"
 HedgeTrade ,"Sep 07, 2019","271,162,173"
 HedgeTrade ,"Sep 06, 2019","261,416,498"
 HedgeTrade ,"Sep 05, 2019","270,975,115"
 HedgeTrade ,"Sep 04, 2019","267,183,105"
 HedgeTrade ,"Sep 03, 2019","275,467,775"
 HedgeTrade ,"Sep 02, 2019","263,299,382"
 HedgeTrade ,"Sep 01, 2019","251,512,139"
 HedgeTrade ,"Aug 31, 2019","256,025,875"
 HedgeTrade ,"Aug 30, 2019","260,196,368"
 HedgeTrade ,"Aug 29, 2019","263,746,539"
 HedgeTrade ,"Aug 28, 2019","264,913,037"
 HedgeTrade ,"Aug 27, 2019","241,459,206"
 HedgeTrade ,"Aug 26, 2019","239,971,042"
 HedgeTrade ,"Aug 25, 2019","232,681,393"
 HedgeTrade ,"Aug 24, 2019","236,578,701"
 HedgeTrade ,"Aug 23, 2019","242,920,420"
 HedgeTrade ,"Aug 22, 2019","221,362,642"
 HedgeTrade ,"Aug 21, 2019","229,251,839"
 HedgeTrade ,"Aug 20, 2019","238,388,755"
